Computador não Funciona;Hardware;O computador não Funciona pois ele não liga.;Média;2;23/02/2024
Impressora fora de ar;Impressora;A impressora não está imprimindo e diz que está fora de ar;Baixa;2;21/02/2026
Impressora fora de ar;Impressora;A impressora não está imprimindo e diz que está fora de ar;Baixa;3;23/02/2022
Impressora fora de ar;Impressora;A impressora não está imprimindo e diz que está fora de ar;Média;2;14/11/2027
Impressora fora de ar;Impressora;A impressora não está imprimindo e diz que está fora de ar;Média;1;25/11/1998
Impressora fora de ar;Impressora;A impressora não está imprimindo e diz que está fora de ar;Média;1;27/08/1998
Impressora fora de ar;Impressora;A impressora não está imprimindo e diz que está fora de ar;Média;1;27/07/1998
Impressora fora de ar;Impressora;A impressora não está imprimindo e diz que está fora de ar;Alta;4;14/11/1675
Impressora fora de ar;Impressora;A impressora não está imprimindo e diz que está fora de ar;Alta;5;14/11/2050
Zacaca;Impressora;A impressora não está imprimindo e diz que está fora de ar;Alta;5;14/11/2050
 
